    ,symbol  ,name　　　　,moneyincomeratio      ,roe                   ,assetsturnratio       ,incomegrowthratio     ,goodwillequityratio   ,grossprofitmarginratio
1117,002665  ,首航节能　　　　,0    102.00           ,0    3.45             ,0    22.72            ,0    -7.01            ,1    0.14             ,1    31.41            
1118,002666  ,德联集团　　　　,0    99.06            ,0    6.68             ,1    86.38            ,0    38.94            ,1    0.17             ,1    18.99            
1119,002667  ,鞍重股份　　　　,0    104.60           ,0    1.76             ,0    19.46            ,0    60.30            ,1    0.00             ,1    42.48            
1120,002668  ,奥马电器　　　　,1    101.35           ,0    0.63             ,1    108.47           ,0    24.13            ,0    14.82            ,1    28.55            
1121,002669  ,康达新材　　　　,0    105.47           ,0    9.23             ,0    56.26            ,0    52.58            ,1    3.43             ,1    32.29            
1122,002670  ,国盛金控　　　　,0    106.86           ,0    4.43             ,0    41.13            ,0    -87.19           ,1    15.78            ,0    31.87            
1123,002671  ,龙泉股份　　　　,0    102.59           ,0    2.62             ,0    31.90            ,0    71.45            ,1    6.19             ,1    38.29            
1124,002672  ,东江环保　　　　,1    106.34           ,0    13.06            ,0    39.13            ,0    16.36            ,0    27.22            ,1    34.44            
1125,002673  ,西部证券　　　　,1    0.00             ,0    9.65             ,0    31.13            ,0    40.63            ,1    0.06             ,1    44.47            
1126,002674  ,兴业科技　　　　,1    109.20           ,0    3.76             ,1    88.80            ,0    -21.09           ,1    0.00             ,0    9.82             
1127,002675  ,东诚药业　　　　,1    100.84           ,0    7.11             ,0    40.64            ,1    59.29            ,0    42.44            ,1    44.95            
1128,002676  ,顺威股份　　　　,0    79.45            ,0    0.74             ,1    79.61            ,0    8.09             ,1    0.00             ,1    19.51            
1129,002677  ,浙江美大　　　　,1    120.02           ,0    20.69            ,1    57.14            ,1    63.27            ,1    0.00             ,1    52.73            
1130,002678  ,珠江钢琴　　　　,1    112.78           ,0    7.15             ,1    55.89            ,0    16.25            ,1    0.44             ,1    30.49            
1131,002679  ,福建金森　　　　,0    94.00            ,0    5.82             ,0    11.10            ,0    3127.70          ,1    0.00             ,1    67.40            
1132,002681  ,奋达科技　　　　,0    100.07           ,0    8.01             ,1    61.55            ,0    48.33            ,0    35.68            ,1    26.62            
1133,002682  ,龙洲股份　　　　,0    97.16            ,0    4.52             ,1    72.12            ,0    39.91            ,0    18.70            ,0    14.63            
1134,002683  ,宏大爆破　　　　,0    82.97            ,0    6.08             ,1    75.45            ,1    40.13            ,0    24.32            ,1    21.78            
1135,002684  ,*ST猛狮　　　,0    106.53           ,0    -4.10            ,0    40.83            ,0    -34.11           ,0    -49.21           ,0    18.20            
1136,002685  ,华东重机　　　　,0    101.82           ,0    3.82             ,1    123.43           ,1    132.99           ,0    20.10            ,0    8.60             
1137,002686  ,亿利达　　　　　,0    82.11            ,0    9.50             ,1    60.71            ,0    21.07            ,0    23.11            ,1    33.82            
1138,002687  ,乔治白　　　　　,1    108.96           ,0    7.88             ,1    54.51            ,0    31.20            ,1    0.84             ,1    48.80            
1139,002688  ,金河生物　　　　,0    99.18            ,0    10.16            ,1    61.82            ,0    15.76            ,1    14.82            ,1    34.94            
1140,002689  ,远大智能　　　　,0    98.50            ,0    6.16             ,1    55.65            ,0    -15.23           ,1    0.17             ,1    32.41            
1141,002690  ,美亚光电　　　　,0    108.02           ,1    17.30            ,0    41.43            ,0    26.64            ,1    0.04             ,1    54.87            
1142,002691  ,冀凯股份　　　　,0    66.94            ,0    2.26             ,0    34.04            ,0    45.77            ,1    0.00             ,1    42.63            
1143,002692  ,ST远程　　　　,0    103.17           ,0    0.18             ,1    93.32            ,0    10.44            ,1    8.22             ,1    17.41            
1144,002693  ,双成药业　　　　,0    112.86           ,0    -10.36           ,0    18.59            ,0    82.25            ,1    0.00             ,1    59.07            
1145,002694  ,顾地科技　　　　,0    96.85            ,0    1.87             ,1    73.75            ,0    -3.49            ,1    0.00             ,1    20.42            
1146,002695  ,煌上煌　　　　　,1    117.26           ,0    6.88             ,1    70.62            ,0    37.34            ,1    1.93             ,1    32.88            
1147,002696  ,百洋股份　　　　,0    100.35           ,0    5.73             ,1    100.47           ,0    33.22            ,0    17.49            ,0    14.82            
1148,002697  ,红旗连锁　　　　,1    115.49           ,0    9.11             ,1    162.96           ,0    9.28             ,1    0.71             ,1    27.40            
1149,002698  ,博实股份　　　　,0    108.58           ,0    8.99             ,0    31.42            ,1    76.09            ,1    1.24             ,1    41.19            
1150,002699  ,美盛文化　　　　,0    101.23           ,0    7.61             ,0    30.27            ,0    35.15            ,1    15.42            ,1    39.48            
1151,002700  ,新疆浩源　　　　,1    113.44           ,0    10.68            ,0    36.68            ,0    31.09            ,1    1.07             ,1    40.67            
1152,002701  ,奥瑞金　　　　　,0    109.04           ,0    17.96            ,1    67.18            ,0    20.93            ,1    0.28             ,1    31.28            
1153,002702  ,海欣食品　　　　,0    100.61           ,0    -0.04            ,1    86.96            ,0    34.17            ,1    5.69             ,1    30.38            
1154,002703  ,浙江世宝　　　　,0    50.16            ,0    3.31             ,1    51.35            ,0    -9.79            ,1    0.32             ,1    22.31            
1155,002705  ,新宝股份　　　　,0    97.89            ,0    13.00            ,1    136.72           ,0    8.94             ,1    0.00             ,1    19.21            
1156,002706  ,良信电器　　　　,0    102.55           ,0    12.87            ,1    84.05            ,0    24.21            ,1    0.49             ,1    38.89            
1157,002707  ,众信旅游　　　　,1    99.56            ,0    12.79            ,1    329.97           ,0    9.34             ,0    27.13            ,0    9.65             
1158,002708  ,光洋股份　　　　,0    78.79            ,0    2.16             ,1    59.62            ,0    0.53             ,1    2.85             ,1    27.06            
1159,002709  ,天赐材料　　　　,0    70.32            ,0    15.87            ,1    71.61            ,0    22.31            ,1    6.34             ,1    31.79            
1160,002711  ,*ST欧浦　　　,1    108.15           ,0    12.45            ,1    146.78           ,0    -34.35           ,1    15.71            ,0    11.58            
1161,002712  ,思美传媒　　　　,0    94.87            ,0    8.29             ,1    157.20           ,0    19.61            ,0    39.71            ,0    12.42            
1162,002713  ,东易日盛　　　　,0    100.11           ,0    16.94            ,1    123.19           ,0    24.98            ,0    31.71            ,1    36.22            
1163,002714  ,牧原股份　　　　,1    100.06           ,0    22.52            ,1    56.92            ,0    55.87            ,1    0.00             ,0    24.08            
1164,002715  ,登云股份　　　　,0    82.37            ,0    -0.27            ,0    42.87            ,0    6.42             ,1    0.00             ,1    25.70            
1165,002716  ,ST金贵　　　　,1    116.70           ,0    6.32             ,1    106.78           ,0    2.11             ,1    0.00             ,0    8.57             
1166,002717  ,岭南股份　　　　,0    56.13            ,0    17.47            ,1    63.73            ,0    98.40            ,0    26.17            ,1    28.05            
1167,002718  ,友邦吊顶　　　　,0    113.33           ,0    16.04            ,1    60.57            ,0    19.72            ,1    0.15             ,1    46.47            
1168,002719  ,麦趣尔　　　　　,1    118.93           ,0    0.80             ,0    44.43            ,0    7.72             ,1    7.19             ,1    43.83            
1169,002721  ,金一文化　　　　,0    106.91           ,0    6.12             ,1    140.97           ,0    9.90             ,0    38.83            ,0    9.53             
1170,002722  ,金轮股份　　　　,1    133.62           ,0    7.45             ,0    68.80            ,0    15.60            ,0    27.93            ,1    28.24            
1171,002723  ,金莱特　　　　　,0    100.34           ,0    0.22             ,1    82.66            ,0    -11.51           ,1    0.54             ,0    12.88            
1172,002724  ,海洋王　　　　　,1    113.80           ,0    9.23             ,1    56.94            ,0    28.20            ,1    0.00             ,1    69.93            
1173,002725  ,跃岭股份　　　　,0    98.13            ,0    5.94             ,1    75.56            ,0    14.26            ,1    0.00             ,1    20.14            
1174,002726  ,龙大肉食　　　　,1    111.58           ,0    9.92             ,1    255.77           ,1    66.94            ,1    0.57             ,0    8.32             
1175,002727  ,一心堂　　　　　,1    113.50           ,0    15.90            ,1    138.57           ,1    30.13            ,0    21.82            ,1    41.02            
1176,002728  ,特一药业　　　　,1    108.25           ,0    12.72            ,0    44.14            ,0    33.66            ,0    49.74            ,1    48.05            
1177,002729  ,好利来　　　　　,0    88.74            ,0    7.79             ,0    37.48            ,0    8.84             ,1    0.00             ,1    41.83            
1178,002730  ,电光科技　　　　,0    95.79            ,0    6.69             ,1    50.31            ,0    41.87            ,1    11.58            ,1    35.02            
1179,002731  ,萃华珠宝　　　　,1    115.79           ,0    6.85             ,1    128.14           ,0    2.75             ,1    0.00             ,0    9.29             
1180,002732  ,燕塘乳业　　　　,1    113.53           ,0    12.82            ,1    105.06           ,0    14.94            ,1    0.05             ,1    34.59            
1181,002733  ,雄韬股份　　　　,1    111.63           ,0    7.82             ,1    98.24            ,0    9.08             ,1    0.26             ,0    13.92            
1182,002734  ,利民股份　　　　,0    81.16            ,0    10.33            ,1    72.76            ,0    39.83            ,1    0.87             ,1    26.56            
1183,002735  ,王子新材　　　　,0    102.51           ,0    8.36             ,1    88.36            ,0    67.39            ,1    2.37             ,1    21.75            
1184,002736  ,国信证券　　　　,1    0.00             ,0    16.14            ,0    27.58            ,0    18.28            ,1    0.02             ,1    51.53            
1185,002737  ,葵花药业　　　　,1    111.51           ,0    18.55            ,1    88.19            ,0    22.81            ,1    4.91             ,1    58.54            
1186,002738  ,中矿资源　　　　,0    80.78            ,0    9.19             ,1    44.86            ,1    109.23           ,0    11.92            ,1    32.21            
1187,002739  ,万达电影　　　　,1    104.98           ,0    19.09            ,1    80.28            ,0    14.32            ,0    59.15            ,1    32.87            
1188,002740  ,爱迪尔　　　　　,1    115.51           ,0    7.46             ,1    85.97            ,0    12.56            ,1    3.90             ,0    16.85            
1189,002741  ,光华科技　　　　,0    96.02            ,0    11.72            ,1    102.60           ,0    33.88            ,1    0.22             ,1    24.88            
1190,002742  ,三圣股份　　　　,0    57.88            ,0    11.45            ,1    69.68            ,1    60.05            ,0    16.33            ,1    22.17            
1191,002743  ,富煌钢构　　　　,0    78.87            ,0    4.79             ,1    53.75            ,0    37.71            ,1    0.91             ,0    12.80            
1192,002745  ,木林森　　　　　,0    91.36            ,0    15.64            ,1    64.89            ,1    116.83           ,1    3.80             ,1    23.92            
1193,002746  ,仙坛股份　　　　,1    111.49           ,0    9.83             ,1    104.48           ,0    36.66            ,1    0.00             ,0    9.52             
1194,002747  ,埃斯顿　　　　　,0    64.76            ,0    9.84             ,1    67.46            ,0    68.45            ,0    13.26            ,1    33.76            
1195,002748  ,世龙实业　　　　,0    59.53            ,0    9.86             ,1    99.03            ,0    49.80            ,1    0.00             ,0    19.77            
1196,002749  ,国光股份　　　　,1    102.66           ,1    23.70            ,1    85.37            ,0    24.84            ,1    0.00             ,1    50.29            
1197,002750  ,龙津药业　　　　,1    112.65           ,0    11.33            ,0    37.50            ,0    12.21            ,1    0.00             ,1    78.55            
1198,002751  ,易尚展示　　　　,0    101.62           ,0    9.74             ,0    50.65            ,0    42.94            ,1    0.58             ,1    32.08            
1199,002752  ,昇兴股份　　　　,0    98.62            ,0    8.62             ,1    77.33            ,0    3.33             ,1    3.33             ,0    17.12            
1200,002753  ,永东股份　　　　,0    39.53            ,0    14.21            ,1    117.69           ,0    57.91            ,1    0.00             ,1    22.88            
1201,002755  ,奥赛康　　　　　,0    92.12            ,0    12.37            ,0    80.33            ,1    966.81           ,1    1.87             ,0    24.90            
1202,002756  ,永兴材料　　　　,1    112.48           ,0    11.43            ,1    130.52           ,0    25.33            ,1    0.88             ,0    12.90            
1203,002757  ,南兴股份　　　　,1    113.40           ,0    12.78            ,1    71.94            ,1    75.17            ,0    7.08             ,1    29.51            
1204,002758  ,华通医药　　　　,1    114.66           ,0    10.03            ,1    130.77           ,0    18.64            ,1    0.00             ,0    12.51            
1205,002759  ,天际股份　　　　,0    88.42            ,0    9.95             ,0    50.03            ,0    3.60             ,0    37.30            ,1    33.02            
1206,002760  ,凤形股份　　　　,1    114.40           ,0    1.52             ,0    44.24            ,0    35.86            ,1    0.00             ,1    21.41            
1207,002761  ,多喜爱　　　　　,1    115.10           ,0    5.95             ,1    84.78            ,0    24.08            ,1    0.00             ,1    40.66            
1208,002762  ,金发拉比　　　　,1    115.66           ,0    12.22            ,1    55.68            ,0    6.35             ,1    0.00             ,1    51.70            
1209,002763  ,汇洁股份　　　　,1    112.26           ,0    13.88            ,1    104.60           ,0    16.31            ,1    0.17             ,1    69.73            
1210,002765  ,蓝黛传动　　　　,0    63.82            ,0    9.93             ,0    55.52            ,0    -30.95           ,1    0.00             ,1    22.43            
1211,002766  ,*ST索菱　　　,0    98.23            ,0    3.22             ,0    57.99            ,0    2.83             ,0    13.20            ,1    29.22            
1212,002767  ,先锋电子　　　　,0    106.39           ,0    10.70            ,0    49.40            ,0    -3.11            ,1    0.00             ,1    38.36            
1213,002768  ,国恩股份　　　　,0    82.97            ,0    18.51            ,1    105.19           ,1    98.13            ,1    0.00             ,1    19.42            
1214,002769  ,普路通　　　　　,1    124.50           ,0    16.83            ,0    26.07            ,0    43.36            ,1    0.00             ,0    6.79             
1215,002770  ,科迪乳业　　　　,1    114.70           ,0    10.26            ,0    44.80            ,0    17.61            ,1    2.22             ,1    30.15            
1216,002771  ,真视通　　　　　,0    101.61           ,0    12.69            ,1    77.61            ,0    -8.46            ,1    0.00             ,1    24.13            
1217,002772  ,众兴菌业　　　　,1    100.38           ,0    11.19            ,0    28.59            ,0    44.66            ,1    0.00             ,1    35.55            
