,ts_code,symbol,name,area,industry,list_date,pe,pe_ttm,pb,total_mv,circ_mv
3332,603305.SH,603305,旭升股份,浙江,汽车配件,20170710,46.0317,67.6523,9.3703,1352030.9063,213520.2053
3333,603306.SH,603306,华懋科技,福建,汽车配件,20140926,14.5155,18.1044,1.7201,401262.5202,396669.4602
3334,603308.SH,603308,应流股份,安徽,专用机械,20140122,71.4021,47.5134,1.7622,522240.2266,522240.2266
3335,603309.SH,603309,维力医疗,广东,医疗保健,20150302,45.0438,23.1166,2.9119,294600.0,294600.0
3336,603311.SH,603311,金海环境,浙江,专用机械,20150518,34.0944,32.4382,2.7487,221760.0,221760.0
3337,603313.SH,603313,梦百合,江苏,家居用品,20161013,30.0654,16.6435,2.792,559436.8014,235953.9049
3338,603315.SH,603315,福鞍股份,辽宁,机械基件,20150424,388.6051,45.9936,2.8391,364440.1754,261081.7195
3339,603316.SH,603316,诚邦股份,浙江,建筑工程,20170619,32.1385,48.7292,2.1111,180309.36,93202.9424
3340,603317.SH,603317,天味食品,四川,食品,20190416,75.9497,67.8191,11.6343,2024872.655,202509.32
3341,603318.SH,603318,派思股份,辽宁,专用机械,20150424,1595.9831,,7.3566,699360.1997,699360.1997
3342,603319.SH,603319,湘油泵,湖南,汽车配件,20161130,18.2026,17.5824,2.2853,176759.1118,123662.0135
3343,603320.SH,603320,迪贝电气,浙江,机械基件,20170502,39.5725,41.4746,2.6445,169500.0,55087.5
3344,603321.SH,603321,梅轮电梯,浙江,运输设备,20170915,49.7156,71.2265,2.3899,249284.0,94273.2
3345,603322.SH,603322,超讯通信,广东,通信设备,20160728,139.1134,,8.0409,345596.16,345596.16
3346,603323.SH,603323,苏农银行,江苏,银行,20161129,11.868,10.4519,0.8494,952017.9831,463474.3603
3347,603326.SH,603326,我乐家居,江苏,家居用品,20170616,31.1072,23.7643,3.5443,316767.88,90241.6928
3348,603327.SH,603327,福蓉科技,四川,元器件,20190523,65.0671,41.982,8.4955,1036585.0,131835.0
3349,603328.SH,603328,依顿电子,广东,元器件,20140701,15.2937,16.2137,2.8666,1000226.5011,1000226.5011
3350,603329.SH,603329,上海雅仕,上海,仓储物流,20171229,43.9816,,2.9071,197868.0,96955.32
3351,603330.SH,603330,上海天洋,上海,塑料,20170213,41.0723,75.5268,2.3778,144471.6,58387.836
3352,603331.SH,603331,百达精工,浙江,专用机械,20170705,29.9055,27.9777,2.8061,210757.4043,52205.6253
3353,603332.SH,603332,苏州龙杰,江苏,化纤,20190117,20.8027,21.2078,2.4017,320181.096,80046.62
3354,603333.SH,603333,尚纬股份,四川,电气设备,20120507,99.4493,57.0731,3.8566,576574.645,569611.6366
3355,603335.SH,603335,迪生力,广东,汽车配件,20170620,158.1639,463.1607,3.7611,213644.1554,101483.9254
3356,603336.SH,603336,宏辉果蔬,广东,农业综合,20161124,46.7089,41.1943,3.4932,299730.795,118748.3371
3357,603337.SH,603337,杰克股份,浙江,纺织机械,20170119,19.9095,26.9059,3.4814,904386.235,238363.8598
3358,603338.SH,603338,浙江鼎力,浙江,专用机械,20150325,47.2165,42.9604,7.6728,2268604.7191,2268604.7191
3359,603339.SH,603339,四方科技,江苏,专用机械,20160519,15.9778,22.2075,1.694,291152.6773,288951.1513
3360,603345.SH,603345,安井食品,福建,食品,20170222,47.502,41.1471,4.9603,1283771.9014,763768.3534
3361,603348.SH,603348,文灿股份,广东,汽车配件,20180426,31.4269,58.3648,1.947,393580.0,125230.0
3362,603351.SH,603351,威尔药业,江苏,化学制药,20190130,27.8295,22.5343,2.5433,311173.4889,77793.4889
3363,603355.SH,603355,莱克电气,江苏,家用电器,20150513,21.7827,19.7332,2.9911,921498.0,921498.0
3364,603356.SH,603356,华菱精工,安徽,机械基件,20180124,27.2662,22.4894,2.292,166541.66,112709.76
3365,603357.SH,603357,设计总院,安徽,建筑工程,20170801,10.8746,12.8095,2.0638,474997.1194,232139.1194
3366,603358.SH,603358,华达科技,江苏,汽车配件,20170125,20.0661,28.2759,1.5807,413011.2,181352.9598
3367,603359.SH,603359,东珠生态,江苏,建筑工程,20170901,14.9928,14.6995,1.7371,488475.12,234472.7792
3368,603360.SH,603360,百傲化学,辽宁,化工原料,20170206,45.8373,24.5775,6.9272,665499.94,279529.2686
3369,603363.SH,603363,傲农生物,福建,饲料,20170926,281.7772,218.2647,10.1339,848872.2413,359706.2055
3370,603365.SH,603365,水星家纺,上海,纺织,20171120,14.9578,13.367,1.9877,426405.33,141645.816
3371,603366.SH,603366,日出东方,江苏,家用电器,20120521,,,1.0481,325600.0,325600.0
3372,603367.SH,603367,辰欣药业,山东,化学制药,20170929,15.3595,14.3397,1.7393,773420.218,490781.7388
3373,603368.SH,603368,柳药股份,广西,医药商业,20141204,17.6922,13.644,2.2227,934477.9017,924439.6207
3374,603369.SH,603369,今世缘,江苏,白酒,20140703,34.6137,28.1371,5.7109,3983037.5,3983037.5
